2018-07-31 23:29:19,785 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: RaviAutoSel:RaviAutoSel:0.0.1-SNAPSHOT @ C:\Users\shravi\Desktop\RaviAutoSel\RaviAutoSel\pom.xml.
2018-07-31 23:29:21,154 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-31 23:29:21,154 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shravi\Desktop\RaviAutoSel\RaviAutoSel\src\main\resources
2018-07-31 23:29:21,164 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-31 23:29:21,164 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shravi\Desktop\RaviAutoSel\RaviAutoSel\src\test\resources
2018-07-31 23:29:21,184 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RaviAutoSel/src
2018-07-31 23:29:21,184 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /RaviAutoSel/src/test/java because it overlaps with /RaviAutoSel/src
2018-07-31 23:29:21,467 [Worker-1] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-07-31 23:29:22,707 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: RaviAutoSel:RaviAutoSel:0.0.1-SNAPSHOT @ C:\Users\shravi\Desktop\RaviAutoSel\RaviAutoSel\pom.xml.
2018-07-31 23:29:23,538 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-31 23:29:23,538 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shravi\Desktop\RaviAutoSel\RaviAutoSel\src\main\resources
